azh_split,index,Locations,Labels
Train,BG/1,-1,0
Train,BG/2,-1,0
Train,BG/3,-1,0
Train,BG/4,-1,0
Train,BG/5,-1,0
Train,BG/6,-1,0
Train,BG/7,-1,0
Train,BG/8,-1,0
Train,BG/9,-1,0
Train,BG/10,-1,0
Train,BG/11,-1,0
Train,BG/12,-1,0
Train,BG/13,-1,0
Train,BG/14,-1,0
Train,BG/15,-1,0
Train,BG/16,-1,0
Train,BG/17,-1,0
Train,BG/18,-1,0
Train,BG/19,-1,0
Train,BG/20,-1,0
Train,BG/21,-1,0
Train,BG/22,-1,0
Train,BG/23,-1,0
Train,BG/24,-1,0
Train,BG/25,-1,0
Train,BG/26,-1,0
Train,BG/27,-1,0
Train,BG/28,-1,0
Train,BG/29,-1,0
Train,BG/30,-1,0
Train,BG/31,-1,0
Train,BG/32,-1,0
Train,BG/33,-1,0
Train,BG/34,-1,0
Train,BG/35,-1,0
Train,BG/36,-1,0
Train,BG/37,-1,0
Train,BG/38,-1,0
Train,BG/39,-1,0
Train,BG/40,-1,0
Train,BG/41,-1,0
Train,BG/42,-1,0
Train,BG/43,-1,0
Train,BG/44,-1,0
Train,BG/45,-1,0
Train,BG/46,-1,0
Train,BG/47,-1,0
Train,BG/48,-1,0
Train,BG/49,-1,0
Train,BG/50,-1,0
Train,BG/51,-1,0
Train,BG/52,-1,0
Train,BG/53,-1,0
Train,BG/54,-1,0
Train,BG/55,-1,0
Train,BG/56,-1,0
Train,BG/57,-1,0
Train,BG/58,-1,0
Train,BG/59,-1,0
Train,BG/60,-1,0
Train,BG/61,-1,0
Train,BG/62,-1,0
Train,BG/63,-1,0
Train,BG/64,-1,0
Train,BG/65,-1,0
Train,BG/66,-1,0
Train,BG/67,-1,0
Train,BG/68,-1,0
Train,BG/69,-1,0
Train,BG/70,-1,0
Train,BG/71,-1,0
Train,BG/72,-1,0
Train,BG/73,-1,0
Train,BG/74,-1,0
Train,BG/75,-1,0
Train,D\1_0,302,1
Train,D\3_0,249,1
Train,D\4_0,229,1
Train,D\5_0,83,1
Train,D\7_0,254,1
Train,D\7_1,253,1
Train,D\9_0,286,1
Train,D\9_1,294,1
Train,D\9_2,287,1
Train,D\10_0,300,1
Train,D\11_0,423,1
Train,D\13_0,234,1
Train,D\15_0,298,1
Train,D\16_0,295,1
Train,D\18_0,454,1
Train,D\20_0,426,1
Train,D\21_0,372,1
Train,D\22_0,300,1
Train,D\24_0,47,1
Train,D\25_0,370,1
Train,D\25_1,372,1
Train,D\26_0,46,1
Train,D\28_0,294,1
Train,D\29_0,81,1
Train,D\30_0,246,1
Train,D\31_0,272,1
Train,D\32_0,235,1
Train,D\32_1,233,1
Train,D\34_0,454,1
Train,D\36_0,237,1
Train,D\37_0,294,1
Train,D\38_0,304,1
Train,D\41_0,83,1
Train,D\42_0,271,1
Train,D\43_0,303,1
Train,D\44_0,83,1
Train,D\46_0,426,1
Train,D\47_0,284,1
Train,D\49_0,294,1
Train,D\50_0,302,1
Train,D\51_0,83,1
Train,D\53_0,46,1
Train,D\54_0,300,1
Train,D\54_1,300,1
Train,D\55_0,236,1
Train,D\55_1,81,1
Train,D\57_0,483,1
Train,D\58_0,299,1
Train,D\59_0,230,1
Train,D\60_0,249,1
Train,D\63_0,284,1
Train,D\64_0,276,1
Train,D\64_1,279,1
Train,D\64_2,275,1
Train,D\66_0,217,1
Train,D\67_0,249,1
Train,D\68_0,227,1
Train,D\69_0,237,1
Train,D\71_0,426,1
Train,D\72_0,266,1
Train,D\73_0,276,1
Train,D\74_0,373,1
Train,D\75_0,279,1
Train,D\76_0,273,1
Train,D\77_0,273,1
Train,D\78_0,273,1
Train,D\78_1,275,1
Train,D\79_0,231,1
Train,D\80_0,231,1
Train,D\81_0,235,1
Train,D\81_1,234,1
Train,D\83_0,235,1
Train,D\84_0,304,1
Train,D\85_0,300,1
Train,D\86_0,300,1
Train,D\87_0,298,1
Train,D\88_0,303,1
Train,D\89_0,268,1
Train,D\90_0,274,1
Train,D\91_0,217,1
Train,D\92_0,275,1
Train,D\93_0,284,1
Train,D\94_0,289,1
Train,D\95_0,230,1
Train,D\96_0,303,1
Train,D\97_0,304,1
Train,D\98_0,258,1
Train,D\99_0,294,1
Train,D\100_0,483,1
Train,D\101_0,302,1
Train,D\102_0,294,1
Train,D\103_0,83,1
Train,D\104_0,220,1
Train,D\107_0,83,1
Train,D\108_0,451,1
Train,D\109_0,231,1
Train,D\110_0,302,1
Train,D\113_0,298,1
Train,D\114_0,373,1
Train,D\115_0,232,1
Train,D\116_0,481,1
Train,D\117_0,217,1
Train,D\118_0,227,1
Train,D\120_0,231,1
Train,D\122_0,294,1
Train,D\122_1,294,1
Train,D\123_0,275,1
Train,D\124_0,260,1
Train,D\125_0,304,1
Train,D\127_0,289,1
Train,D\128_0,304,1
Train,D\130_0,255,1
Train,D\131_0,233,1
Train,D\131_1,373,1
Train,D\132_0,234,1
Train,D\132_1,235,1
Train,D\133_0,231,1
Train,D\134_0,273,1
Train,D\134_1,275,1
Train,D\135_0,284,1
Train,D\136_0,277,1
Train,D\137_0,304,1
Train,D\139_0,279,1
Train,D\139_1,281,1
Train,D\140_0,252,1
Train,D\141_0,231,1
Train,D\143_0,230,1
Train,D\144_0,217,1
Train,D\146_0,227,1
Train,D\146_1,218,1
Train,D\146_2,231,1
Train,D\147_0,243,1
Train,D\147_1,249,1
Train,D\148_0,248,1
Train,D\149_0,295,1
Train,D\150_0,295,1
Train,D\152_0,294,1
Train,D\153_0,454,1
Train,D\154_0,229,1
Train,N\1,295,2
Train,N\2,250,2
Train,N\3,367,2
Train,N\4,249,2
Train,N\5,308,2
Train,N\6,231,2
Train,N\7,373,2
Train,N\8,426,2
Train,N\9,303,2
Train,N\10,452,2
Train,N\11,425,2
Train,N\12,370,2
Train,N\13,367,2
Train,N\14,483,2
Train,N\15,269,2
Train,N\16,302,2
Train,N\17,299,2
Train,N\18,454,2
Train,N\19,294,2
Train,N\20,233,2
Train,N\21,233,2
Train,N\22,272,2
Train,N\23,272,2
Train,N\24,269,2
Train,N\25,269,2
Train,N\26,232,2
Train,N\27,294,2
Train,N\28,301,2
Train,N\29,483,2
Train,N\30,249,2
Train,N\31,477,2
Train,N\32,448,2
Train,N\33,367,2
Train,N\34,47,2
Train,N\35,308,2
Train,N\36,307,2
Train,N\37,82,2
Train,N\38,308,2
Train,N\39,307,2
Train,N\40,305,2
Train,N\41,299,2
Train,N\42,305,2
Train,N\43,318,2
Train,N\44,308,2
Train,N\45,308,2
Train,N\46,81,2
Train,N\47,75,2
Train,N\48,316,2
Train,N\49,79,2
Train,N\50,26,2
Train,N\51,423,2
Train,N\52,249,2
Train,N\53,246,2
Train,N\54,246,2
Train,N\55,245,2
Train,N\56,367,2
Train,N\57,454,2
Train,N\58,46,2
Train,N\59,308,2
Train,N\60,318,2
Train,N\61,370,2
Train,N\62,477,2
Train,N\63,26,2
Train,N\64,24,2
Train,N\65,26,2
Train,N\66,24,2
Train,N\67,17,2
Train,N\68,243,2
Train,N\69,64,2
Train,N\70,64,2
Train,N\71,64,2
Train,N\72,24,2
Train,N\73,29,2
Train,N\74,24,2
Train,N\75,26,2
Train,P\1_0,63,3
Train,P\3_0,314,3
Train,P\4_0,318,3
Train,P\5_0,371,3
Train,P\6_0,243,3
Train,P\6_1,247,3
Train,P\7_0,247,3
Train,P\7_1,244,3
Train,P\8_0,236,3
Train,P\9_0,83,3
Train,P\10_0,373,3
Train,P\10_1,236,3
Train,P\10_2,372,3
Train,P\10_3,373,3
Train,P\11_0,373,3
Train,P\11_1,372,3
Train,P\11_2,236,3
Train,P\13_0,373,3
Train,P\13_1,236,3
Train,P\13_2,372,3
Train,P\14_0,237,3
Train,P\16_0,75,3
Train,P\17_0,306,3
Train,P\19_0,306,3
Train,P\20_0,304,3
Train,P\21_0,479,3
Train,P\22_0,311,3
Train,P\23_0,344,3
Train,P\25_0,29,3
Train,P\25_1,29,3
Train,P\25_2,30,3
Train,P\25_3,29,3
Train,P\25_4,29,3
Train,P\27_0,303,3
Train,P\28_0,47,3
Train,P\29_0,372,3
Train,P\30_0,304,3
Train,P\33_0,82,3
Train,P\34_0,304,3
Train,P\35_0,306,3
Train,P\36_0,303,3
Train,P\37_0,300,3
Train,P\38_0,305,3
Train,P\38_1,306,3
Train,P\39_0,83,3
Train,P\40_0,313,3
Train,P\41_0,314,3
Train,P\41_1,317,3
Train,P\42_0,311,3
Train,P\43_0,226,3
Train,P\44_0,227,3
Train,P\45_0,228,3
Train,P\46_0,232,3
Train,P\47_0,84,3
Train,P\48_0,309,3
Train,P\48_1,63,3
Train,P\48_2,318,3
Train,P\48_3,74,3
Train,P\50_0,371,3
Train,P\52_0,30,3
Train,P\54_0,306,3
Train,P\55_0,304,3
Train,P\56_0,418,3
Train,P\57_0,67,3
Train,P\60_0,303,3
Train,P\61_0,313,3
Train,P\62_0,237,3
Train,P\63_0,246,3
Train,P\64_0,373,3
Train,P\65_0,63,3
Train,P\66_0,237,3
Train,P\67_0,237,3
Train,P\68_0,84,3
Train,P\69_0,308,3
Train,P\69_1,318,3
Train,P\71_0,81,3
Train,P\72_0,306,3
Train,P\72_1,305,3
Train,P\73_0,39,3
Train,P\74_0,236,3
Train,P\76_0,311,3
Train,P\77_0,306,3
Train,P\78_0,83,3
Train,P\80_0,64,3
Train,P\83_0,29,3
Train,P\84_0,417,3
Train,P\85_0,45,3
Train,P\86_0,307,3
Train,P\87_0,307,3
Train,P\88_0,426,3
Train,P\89_0,306,3
Train,P\91_0,30,3
Train,P\92_0,84,3
Train,P\93_0,313,3
Train,P\94_0,81,3
Train,P\95_0,311,3
Train,P\96_0,423,3
Train,P\97_0,237,3
Train,P\98_0,30,3
Train,P\99_0,45,3
Train,S\1_0,425,4
Train,S\2_0,249,4
Train,S\3_0,253,4
Train,S\5_0,45,4
Train,S\5_1,45,4
Train,S\5_2,43,4
Train,S\6_0,248,4
Train,S\6_1,250,4
Train,S\8_0,250,4
Train,S\8_1,248,4
Train,S\10_0,249,4
Train,S\11_0,370,4
Train,S\11_1,373,4
Train,S\11_2,366,4
Train,S\12_0,477,4
Train,S\13_0,25,4
Train,S\13_1,30,4
Train,S\15_0,454,4
Train,S\15_1,454,4
Train,S\17_0,42,4
Train,S\17_1,44,4
Train,S\18_0,16,4
Train,S\20_0,454,4
Train,S\20_1,246,4
Train,S\21_0,46,4
Train,S\22_0,46,4
Train,S\23_0,44,4
Train,S\23_1,46,4
Train,S\25_0,25,4
Train,S\27_0,46,4
Train,S\28_0,63,4
Train,S\30_0,30,4
Train,S\31_0,314,4
Train,S\32_0,308,4
Train,S\33_0,370,4
Train,S\34_0,370,4
Train,S\35_0,35,4
Train,S\36_0,30,4
Train,S\37_0,30,4
Train,S\37_1,25,4
Train,S\38_0,30,4
Train,S\39_0,13,4
Train,S\40_0,454,4
Train,S\41_0,454,4
Train,S\42_0,66,4
Train,S\43_0,30,4
Train,S\44_0,30,4
Train,S\45_0,63,4
Train,S\46_0,63,4
Train,S\48_0,47,4
Train,S\50_0,425,4
Train,S\50_1,270,4
Train,S\52_0,24,4
Train,S\52_1,30,4
Train,S\53_0,452,4
Train,S\54_0,451,4
Train,S\55_0,372,4
Train,S\56_0,370,4
Train,S\58_0,269,4
Train,S\59_0,30,4
Train,S\60_0,30,4
Train,S\60_1,26,4
Train,S\61_0,30,4
Train,S\62_0,47,4
Train,S\63_0,367,4
Train,S\64_0,249,4
Train,S\64_1,249,4
Train,S\65_0,276,4
Train,S\67_0,35,4
Train,S\67_1,35,4
Train,S\69_0,372,4
Train,S\70_0,29,4
Train,S\71_0,47,4
Train,S\72_0,47,4
Train,S\73_0,47,4
Train,S\75_0,472,4
Train,S\75_1,476,4
Train,S\77_0,31,4
Train,S\77_1,30,4
Train,S\78_0,30,4
Train,S\79_0,63,4
Train,S\80_0,30,4
Train,S\81_0,62,4
Train,S\82_0,30,4
Train,S\84_0,63,4
Train,S\85_0,64,4
Train,S\86_0,30,4
Train,S\87_0,35,4
Train,S\87_1,30,4
Train,S\88_0,278,4
Train,S\89_0,63,4
Train,S\90_0,65,4
Train,S\91_0,30,4
Train,S\93_0,31,4
Train,S\94_0,30,4
Train,S\95_0,250,4
Train,S\96_0,250,4
Train,S\97_0,423,4
Train,S\98_0,246,4
Train,S\101_0,30,4
Train,S\102_0,30,4
Train,S\103_0,63,4
Train,S\105_0,30,4
Train,S\106_0,63,4
Train,S\107_0,45,4
Train,S\108_0,62,4
Train,S\109_0,45,4
Train,S\110_0,45,4
Train,S\110_1,47,4
Train,S\112_0,426,4
Train,S\113_0,272,4
Train,S\114_0,276,4
Train,S\115_0,25,4
Train,S\116_0,483,4
Train,S\117_0,367,4
Train,S\119_0,454,4
Train,S\120_0,30,4
Train,S\122_0,45,4
Train,S\123_0,13,4
Train,S\125_0,63,4
Train,S\126_0,13,4
Train,S\127_0,63,4
