feature_encoding,num_qubits,circuit_depth,n_params,test_accuracy,test_f1_macro,cv_mean_accuracy,cv_std_accuracy,train_time_s,inference_time_ms_per_image
pca,4,1,32,0.5862068965517241,0.5815292510446802,0.6920238134209458,0.02545253666395768,86.6695146560669,2.7891644116105705
pca,4,2,44,0.6810344827586207,0.6754569504569504,0.7822054799601359,0.04047004816770924,221.38148164749146,7.492778630092226
pca,4,3,56,0.6982758620689655,0.6884037015615962,0.8441443755526705,0.019581452123606128,104.80962538719177,7.196722359492861
pca,6,1,46,0.5775862068965517,0.5780783780903667,0.656693391941513,0.06212964297282508,169.3350019454956,6.363402152883595
pca,6,2,64,0.5862068965517241,0.5843595060716997,0.7276052532762082,0.04665610826633748,243.83934020996094,7.692850869277428
pca,6,3,82,0.7241379310344828,0.7210506379585326,0.8248465400411529,0.008386588867212151,282.0887894630432,17.734248062659955
pca,8,1,60,0.4827586206896552,0.4687544339718253,0.6625805933173158,0.03586077668931343,91.44127297401428,8.245540076288684
pca,8,2,84,0.5775862068965517,0.5812710893696809,0.7207981415084895,0.04625728224684966,147.1818289756775,9.59124441804557
pca,8,3,108,0.6637931034482759,0.6378982477619206,0.7949809771905583,0.029406629713178017,404.75689578056335,11.654444809617667
domain,6,1,46,0.31896551724137934,0.232126805297537,0.3468585524939108,0.040476720897219785,58.90677833557129,3.4343620826458108
domain,6,2,64,0.35344827586206895,0.31484775703611134,0.39554527590354477,0.04178548306702202,288.44888710975647,8.230155911938898
domain,6,3,82,0.3706896551724138,0.3255714931324495,0.4162924913217897,0.050270782183984675,256.40127658843994,10.261153352671656
