metric,classical,quantum_hybrid
accuracy,0.7413793103448276,0.6982758620689655
precision_macro,0.7350909959605612,0.6926388888888889
recall_macro,0.7324010136205259,0.6908813747228382
f1_macro,0.7308094757266176,0.6894208417119467
roc_auc_ovr_macro,0.9185689790230527,0.8675615161736724
n_params,23516228.0,82.0
train_time_s,4408.486364603043,330.8091313838959
inference_time_ms_per_image,100.4119453759029,24.87200087514417
cv_mean_accuracy,0.7460108066294776,0.8132166866141605
cv_std_accuracy,0.0170854396563286,0.03867724387675768
